NMFS_POPID,ESU,Species,MAJOR_POPULATION_GROUP,DISPLAY_ORDER,POP_NAME_LONG,COMMON_POPULATION_NAME,RUN_TIMING,START_YEAR,END_YEAR,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,Age1,Age2,Age3,Age4,Age5,Sum of age,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,AGE_NOTES,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,TOTAL_SPAWNERS_EXC_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,HATCHERY_RETURN,HATCHERY_RETURN_NOR,Date Uploaded,Data Submitted by
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1977,1602.251513,0.439079323,5436.329533,0,0.09816478,0.093611876,0.793087699,0.015135644,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1978,182.9513479,0.439079323,1177.993849,0,0.022957044,0.625374376,0.299487912,0.052180669,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1979,1284.67719,0.439079323,12436.06181,0,0.004140344,0.101620756,0.879387403,0.014851497,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1980,504.3525641,0.439079323,3493.015064,0,0.008916922,0.085319065,0.559092257,0.346671755,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1981,157.6027093,0.439079323,577.5223835,0,0.226288446,0.149533121,0.518925332,0.105253102,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1982,291.8908923,0.439079323,739.8187249,0,0.071395695,0.704414032,0.196585818,0.027604455,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1983,1155.870334,0.439079323,8365.907853,0,0.024879659,0.193051716,0.778046944,0.004021681,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1984,1625.693709,0.439079323,4880.623524,0,0.042791004,0.351901828,0.505917939,0.099389229,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1985,3197.446388,0.439079323,8429.976446,0,0.024349295,0.226182125,0.676423324,0.073045255,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1986,2964.451314,0.439079323,4778.830947,0,0.053312884,0.202809177,0.630746917,0.113131022,1,,,,,,,,,,,,,,,,,,,,,,,
